"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Ausländer/innenanteil","gesamt","34,9","23355","66992","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2006","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Ausländer/innenanteil","gesamt","27","27689","102689","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2006","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,6","9518","37146","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2006","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,9","14288","62430","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2006","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Ausländer/innenanteil","gesamt","26","10125","38995","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2006","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Ausländer/innenanteil","gesamt","22","11960","54351","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,7","17703","81661","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Ausländer/innenanteil","gesamt","19,5","8364","42823","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Ausländer/innenanteil","gesamt","16,5","4450","26977","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Ausländer/innenanteil","gesamt","40,2","10176","25328","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Ausländer/innenanteil","gesamt","19,6","9149","46707","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Ausländer/innenanteil","gesamt","17,9","6739","37566","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Ausländer/innenanteil","gesamt","34,2","21154","61886","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Ausländer/innenanteil","gesamt","26,1","26330","100724","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Ausländer/innenanteil","gesamt","23","292229","1267813","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Ausländer/innenanteil","gesamt","24,8","10309","41502","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Ausländer/innenanteil","gesamt","17,3","12654","73070","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Ausländer/innenanteil","gesamt","16,9","10394","61509","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,7","9025","35113","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Ausländer/innenanteil","gesamt","23,7","14241","60215","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,3","9516","37607","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,5","12352","48451","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Ausländer/innenanteil","gesamt","16,7","9876","59031","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Ausländer/innenanteil","gesamt","19,3","15964","82771","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Ausländer/innenanteil","gesamt","27,5","28602","104089","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Ausländer/innenanteil","gesamt","35,3","24105","68198","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,8","11209","51329","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","25","25 Laim"
"Bevölkerung","Ausländer/innenanteil","gesamt","35,3","9819","27778","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Ausländer/innenanteil","gesamt","19,8","9765","49391","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Ausländer/innenanteil","gesamt","18,8","7213","38327","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Ausländer/innenanteil","gesamt","23,1","315924","1367314","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Ausländer/innenanteil","gesamt","23,1","11304","48884","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Ausländer/innenanteil","gesamt","18,3","14097","77112","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Ausländer/innenanteil","gesamt","16,9","11025","65290","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Ausländer/innenanteil","gesamt","26,6","14780","55667","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Ausländer/innenanteil","gesamt","100","12","12","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,5","4386","19505","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Ausländer/innenanteil","gesamt","27,4","13042","47599","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,9","12247","55853","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Ausländer/innenanteil","gesamt","23","12011","52257","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Ausländer/innenanteil","gesamt","27,7","13394","48282","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,4","9730","38335","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,7","14581","64350","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Ausländer/innenanteil","gesamt","26,8","10746","40038","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Ausländer/innenanteil","gesamt","20,2","12635","62541","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,2","18436","87043","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,4","9947","46385","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Ausländer/innenanteil","gesamt","16,1","4646","28796","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2008","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,3","13385","52961","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Ausländer/innenanteil","gesamt","12,1","4","33","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2003","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Ausländer/innenanteil","gesamt","23,3","300129","1288307","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Ausländer/innenanteil","gesamt","24,7","10442","42201","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Ausländer/innenanteil","gesamt","17,7","13042","73860","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Ausländer/innenanteil","gesamt","17,3","10822","62724","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,6","12125","56033","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,8","17890","82156","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Ausländer/innenanteil","gesamt","20,5","9024","43981","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Ausländer/innenanteil","gesamt","16,9","4671","27586","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,9","4261","18631","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Ausländer/innenanteil","gesamt","29,5","12953","43945","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Ausländer/innenanteil","gesamt","23,5","12322","52502","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Ausländer/innenanteil","gesamt","23,2","11492","49472","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Ausländer/innenanteil","gesamt","27,3","12339","45132","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,9","13832","53389","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Ausländer/innenanteil","gesamt","18,8","3","16","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Ausländer/innenanteil","gesamt","37,8","9644","25507","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Ausländer/innenanteil","gesamt","19,6","9196","46857","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Ausländer/innenanteil","gesamt","18,7","7015","37560","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Ausländer/innenanteil","gesamt","24,9","11758","47198","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Ausländer/innenanteil","gesamt","15,8","8032","50990","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Ausländer/innenanteil","gesamt","18,9","14983","79148","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,6","10560","48927","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2005","Stadtbezirk","25","25 Laim"
"Bevölkerung","Ausländer/innenanteil","gesamt","26,4","14642","55475","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2007","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Ausländer/innenanteil","gesamt","33,3","1","3","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2007","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,3","4290","19228","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2007","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Ausländer/innenanteil","gesamt","27,6","12824","46520","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2007","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,2","12247","55288","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2007","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Ausländer/innenanteil","gesamt","27,9","14038","50253","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Ausländer/innenanteil","gesamt","18,9","12466","65869","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Ausländer/innenanteil","gesamt","21,7","18895","87271","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Ausländer/innenanteil","gesamt","23,8","12675","53359","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","25","25 Laim"
"Bevölkerung","Ausländer/innenanteil","gesamt","23,6","4729","20048","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Ausländer/innenanteil","gesamt","27,4","13604","49657","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Ausländer/innenanteil","gesamt","22,2","13049","58881","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Ausländer/innenanteil","gesamt","25,4","13829","54552","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Ausländer/innenanteil","gesamt","29,1","14909","51183","","","","Anzahl aller ausländischen Einwohner","Anzahl der gesamten Hauptwohnsitzbevölkerung","","","","2012","Stadtbezirk","17","17 Obergiesing - Fasangarten"
